Date,Airline,Number,From,To,Miles
10/11/16,SOUTHWEST,1103,MDW,BNA,
11/4/16,SOUTHWEST,2516,BNA ,MDW,
11/7/16,SOUTHWEST,6516,MDW,BNA,
11/16/16,SOUTHWEST,414,BNA,MDW,
11/22/16,SOUTHWEST,180,ATL,MDW,
11/23/16,SOUTHWEST,4501,MDW,LAS,
11/29/16,SOUTHWEST,516,LAS,DEN,
11/29/16,SOUTHWEST,2832,DEN,BNA,
1/29/17,AMERICAN,,BNA,DFW,
1/30/17,AMERICAN,,DFW,MIA,
2/4/17,AMERICAN,1322,LIR,MIA,
2/4/17,AMERICAN,,MIA,BNA,
2/16/17,SOUTHWEST,,BNA,DEN,
2/19/17,SOUTHWEST,,DEN,BNA,
2/22/17,SOUTHWEST,,BNA,LGA,
3/1/17,SOUTHWEST,,LGA,BNA,
3/10/17,SOUTHWEST,,BNA,DCA,
3/15/17,SOUTHWEST,,DCA,BNA,
3/22/17,AMERICAN,,BNA,DFW,
3/22/17,AMERICAN,,DFW,PVG,
4/4/17,JAL,,PVG,NRT,
4/11/17,JAL,,NRT,ORD,
4/11/17,AMERICAN,,ORD,BNA,
5/4/17,SOUTHWEST,,BNA,GRR,
5/8/17,SOUTHWEST,,GRR,BNA,
5/16/17,AMERICAN,,BNA,DFW,
5/16/17,JAL,,DFW,NRT,
5/16/17,JAL,,NRT,PVG,
5/29/17,China Southern Airlines,3908,PVG,PEK,
8/12/17,Train,,PEK,PVG,
8/17/17,Train,,PVG,SJW,
8/21/17,Train,,SJW,PEK,
8/22/17,SWISS,197,PEK,ZRH,
8/22/17,SWISS,197,ZRH,JFK,
8/31/17,SOUTHWEST,1430,LGA,BNA,
9/4/17,SOUTHWEST,337,BNA,LGA,
11/6/17,AMERICAN,4462,JFK,BNA,
11/8/17,AMERICAN,4774,BNA,LGA,
11/17/17,BUS,,LGA,PHL,
11/17/17,BUS,,PHL,LGA,
12/8/17,SOUTHWEST,6481,LGA,DAL,
12/10/17,SOUTHWEST,3597,DAL,LGA,
12/16/17,SOUTHWEST,3649,LGA,BNA,
12/20/17,SOUTHWEST,1579,BNA,LGA,
